PHASE,method,interval_method,n,replicates,seed,empty_count,nonempty_count,orbital_unique_count,orbital_nonunique_count,U_hat,U_ci95_low,U_ci95_high,E_hat,E_ci95_low,E_ci95_high,U_star_hat,U_star_ci95_low,U_star_ci95_high,G_hat,backend_failures,median_time_ms,p95_time_ms
POST_HOC_EXPLORATORY_ORBITAL_CURVE_REFINEMENT,MONTE_CARLO_REFINEMENT,WILSON_95,20,100000,260828020,14131,85869,41377,44492,0.41377000000000003,0.41072082745985994,0.41682579726553626,0.85868999999999995,0.85651721860705721,0.860835224594238,0.48186190592646938,0.47852073424921326,0.48520470039249741,0.44491999999999998,0,1.3917030000811792,3.292178999799944
POST_HOC_EXPLORATORY_ORBITAL_CURVE_REFINEMENT,MONTE_CARLO_REFINEMENT,WILSON_95,22,100000,260828022,7140,92860,44033,48827,0.44033,0.43725552218560387,0.44340906203525193,0.92859999999999998,0.92698756033007601,0.93017951194981785,0.47418694809390483,0.47097646157494449,0.47739957020782614,0.48826999999999998,0,1.8752245000541734,4.2898440005956218
POST_HOC_EXPLORATORY_ORBITAL_CURVE_REFINEMENT,MONTE_CARLO_REFINEMENT,WILSON_95,24,100000,260828024,3384,96616,46380,50236,0.46379999999999999,0.46071060715881151,0.46689217395053961,0.96616000000000002,0.96502127588671205,0.96726291080016469,0.48004471309099944,0.47689530168038835,0.48319571128568634,0.50236000000000003,0,2.4041524998210662,5.4299249995892751
POST_HOC_EXPLORATORY_ORBITAL_CURVE_REFINEMENT,MONTE_CARLO_REFINEMENT,WILSON_95,26,100000,260828026,1264,98736,48222,50514,0.48221999999999998,0.4791237271997924,0.48531763877049111,0.98736000000000002,0.98664863551886628,0.98803392245203681,0.48839329120077785,0.48527589544579591,0.49151159007031292,0.50514000000000003,0,3.0176589998518466,6.499525000435824
POST_HOC_EXPLORATORY_ORBITAL_CURVE_REFINEMENT,MONTE_CARLO_REFINEMENT,WILSON_95,28,100000,260828028,493,99507,49302,50205,0.49302000000000001,0.48992165444714741,0.49611888179990438,0.99507000000000001,0.99461646622539301,0.99548549941531406,0.4954626307696946,0.49235635130740735,0.49856926054792322,0.50205,0,3.7469604994839756,7.6667719995384687
POST_HOC_EXPLORATORY_ORBITAL_CURVE_REFINEMENT,MONTE_CARLO_REFINEMENT,WILSON_95,30,100000,260828030,174,99826,50490,49336,0.50490000000000002,0.50180104494322364,0.50799857860827313,0.99826000000000004,0.99798184513790955,0.99849987542713936,0.50578005729970144,0.50267842700922793,0.50888124275620994,0.49336000000000002,0,4.6231125002123008,9.2051410001658951
POST_HOC_EXPLORATORY_ORBITAL_CURVE_REFINEMENT,MONTE_CARLO_REFINEMENT,WILSON_95,32,100000,260828032,66,99934,51525,48409,0.51524999999999999,0.51215194022283383,0.5183468881772324,0.99934000000000001,0.99916049462436762,0.99948114296835799,0.51559028959113018,0.5124912588073669,0.51868812184079283,0.48409000000000002,0,5.6665335000616324,10.959380000713281
POST_HOC_EXPLORATORY_ORBITAL_CURVE_REFINEMENT,MONTE_CARLO_REFINEMENT,WILSON_95,34,100000,260828034,12,99988,52575,47413,0.52575000000000005,0.52265420734198165,0.52884381438272043,0.99987999999999999,0.99979024498730396,0.99993135111926001,0.52581309757170858,0.52271713686508692,0.52890707491748978,0.47413,0,7.026921000033326,13.394810999670881
POST_HOC_EXPLORATORY_ORBITAL_CURVE_REFINEMENT,MONTE_CARLO_REFINEMENT,WILSON_95,36,100000,260828036,3,99997,53305,46692,0.53305000000000002,0.52995659186328292,0.53614086902997538,0.99997000000000003,0.99991179195074831,0.99998979724145554,0.53306599197975935,0.5299725433766288,0.53615690017133522,0.46692,0,8.3710605003943783,15.471106000404689
POST_HOC_EXPLORATORY_ORBITAL_CURVE_REFINEMENT,MONTE_CARLO_REFINEMENT,WILSON_95,38,100000,260828038,1,99999,54106,45893,0.54105999999999999,0.53796997346055508,0.54414687205463952,0.99999000000000005,0.99994335290340985,0.99999823475226979,0.54106541065410652,0.53797537121253625,0.54415229516364316,0.45893,0,9.8251664994677412,17.519274000733276
POST_HOC_EXPLORATORY_ORBITAL_CURVE_REFINEMENT,MONTE_CARLO_REFINEMENT,WILSON_95,40,100000,260828040,1,99999,55046,44953,0.55045999999999995,0.54737496680229636,0.55354115654638159,0.99999000000000005,0.99994335290340985,0.99999823475226979,0.55046550465504651,0.54738045927232637,0.55354667292477333,0.44952999999999999,0,11.321440500978497,19.598732000304153
