PHASE,n,p,deletion_fraction,expected_retained,relative_density,U_orbital,E_available,U_orbital_given_available
POST_HOC_EXPLORATORY_MACROTEST,8,0.15,0.85,1.20,0.15,4.0824598911830357e-7,4.1100253731863839e-7,0.99329311147731979
POST_HOC_EXPLORATORY_MACROTEST,8,0.20,0.80,1.60,0.20,0.0000022300952380952381,0.0000022508571428571429,0.99077600067699078
POST_HOC_EXPLORATORY_MACROTEST,8,0.25,0.75,2.00,0.25,0.0000082666911776103671,0.0000083662214733305432,0.98810331569186231
POST_HOC_EXPLORATORY_MACROTEST,8,0.30,0.70,2.40,0.30,0.000023973830357142857,0.000024332363839285714,0.98526516024045356
POST_HOC_EXPLORATORY_MACROTEST,8,0.35,0.65,2.80,0.35,0.000058680885498046875,0.000059741239237467448,0.98225089146199768
POST_HOC_EXPLORATORY_MACROTEST,8,0.40,0.60,3.20,0.40,0.00012684596825396825,0.00012956038095238095,0.97904905281645967
POST_HOC_EXPLORATORY_MACROTEST,8,0.45,0.55,3.60,0.45,0.00024932097478376116,0.00025554416520472935,0.97564729988656763
POST_HOC_EXPLORATORY_MACROTEST,8,0.50,0.50,4.00,0.50,0.00045456659226190476,0.00046764555431547619,0.97203231821006837
POST_HOC_EXPLORATORY_MACROTEST,8,0.55,0.45,4.40,0.55,0.00077976062570141989,0.00080537997854178292,0.96818973214761396
POST_HOC_EXPLORATORY_MACROTEST,8,0.60,0.40,4.80,0.60,0.0012717462857142857,0.0013190965714285714,0.96410400364925085
POST_HOC_EXPLORATORY_MACROTEST,8,0.65,0.35,5.20,0.65,0.0019877703590843564,0.0020711155282069615,0.95975831961688782
POST_HOC_EXPLORATORY_MACROTEST,8,0.70,0.30,5.60,0.70,0.0029959644652777778,0.0031366939114583333,0.95513446636712900
POST_HOC_EXPLORATORY_MACROTEST,8,0.75,0.25,6.00,0.75,0.0043755258832659040,0.0046047857829502651,0.95021268947336888
POST_HOC_EXPLORATORY_MACROTEST,8,0.80,0.20,6.40,0.80,0.0062165577142857143,0.0065785660952380952,0.94497153700189753
POST_HOC_EXPLORATORY_MACROTEST,8,0.85,0.15,6.80,0.85,0.0086195314274127294,0.0091756913313133603,0.93938768384648516
POST_HOC_EXPLORATORY_MACROTEST,8,0.90,0.10,7.20,0.90,0.011694338116071429,0.012528273435267857,0.93343573450042609
POST_HOC_EXPLORATORY_MACROTEST,8,0.95,0.05,7.60,0.95,0.015558898074858166,0.016782547131629581,0.92708800117324034
POST_HOC_EXPLORATORY_MACROTEST,8,1.00,0.00,8.00,1.00,0.020337301587301587,0.022098214285714286,0.92031425364758698
POST_HOC_EXPLORATORY_MACROTEST,9,0.00,1.00,0.00,0.00,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,9,0.10,0.90,0.90,0.10,1.0756839451058201e-7,1.0829681988536155e-7,0.99327380641877922
POST_HOC_EXPLORATORY_MACROTEST,9,0.15,0.85,1.35,0.15,0.0000011750543112618583,0.0000011876019025530134,0.98943451398639451
POST_HOC_EXPLORATORY_MACROTEST,9,0.20,0.80,1.80,0.20,0.0000063260656084656085,0.0000064207336860670194,0.98525587849768002
POST_HOC_EXPLORATORY_MACROTEST,9,0.25,0.75,2.25,0.25,0.000023101404230430643,0.000023555545369573792,0.98072041500131205
POST_HOC_EXPLORATORY_MACROTEST,9,0.30,0.70,2.70,0.30,0.000065971191294642857,0.000067606613839285714,0.97580972553172712
POST_HOC_EXPLORATORY_MACROTEST,9,0.35,0.65,3.15,0.35,0.00015893839537138762,0.00016376884698184920,0.97050445368894278
POST_HOC_EXPLORATORY_MACROTEST,9,0.40,0.60,3.60,0.40,0.00033800235343915344,0.00035033983774250441,0.96478423811904921
POST_HOC_EXPLORATORY_MACROTEST,9,0.45,0.55,4.05,0.45,0.00065327844906659807,0.00068147255998011998,0.95862766519264637
POST_HOC_EXPLORATORY_MACROTEST,9,0.50,0.50,4.50,0.50,0.0011705993975281085,0.0012296054308586861,0.95201222127868192
POST_HOC_EXPLORATORY_MACROTEST,9,0.55,0.45,4.95,0.55,0.0019724528317006106,0.0020874411004523491,0.94491424513639188
POST_HOC_EXPLORATORY_MACROTEST,9,0.60,0.40,5.40,0.60,0.0031581390857142857,0.0033693685714285714,0.93730888110447146
POST_HOC_EXPLORATORY_MACROTEST,9,0.65,0.35,5.85,0.65,0.0048430622354392238,0.0052122454001114995,0.92917003396187406
POST_HOC_EXPLORATORY_MACROTEST,9,0.70,0.30,6.30,0.70,0.0071570965759837963,0.0077754777849151235,0.92047032657838436
POST_HOC_EXPLORATORY_MACROTEST,9,0.75,0.25,6.75,0.75,0.010241999796458653,0.011240356309073312,0.91118106177748325
POST_HOC_EXPLORATORY_MACROTEST,9,0.80,0.20,7.20,0.80,0.014247873151322751,0.015808623971781305,0.90127219021437136
POST_HOC_EXPLORATORY_MACROTEST,9,0.85,0.15,7.65,0.85,0.019328697925674697,0.021700270915300749,0.89071228654782053
POST_HOC_EXPLORATORY_MACROTEST,9,0.90,0.10,8.10,0.90,0.025637006448883929,0.029150566935267857,0.87946853678056456
POST_HOC_EXPLORATORY_MACROTEST,9,0.95,0.05,8.55,0.95,0.033317774826971904,0.038406358447381775,0.86750674039088004
POST_HOC_EXPLORATORY_MACROTEST,9,1.00,0.00,9.00,1.00,0.042501653439153439,0.049721671075837743,0.85479133181843374
