PHASE,K,n,seed,R,count
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,20,260828020,62,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,0,0
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,1,45476
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,2,28822
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,3,8058
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,4,8364
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,5,1906
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,6,2928
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,7,682
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,8,1359
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,9,395
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,10,532
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,11,150
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,12,412
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,13,77
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,14,160
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,15,69
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,16,132
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,17,41
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,18,83
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,19,20
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,20,58
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,21,24
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,22,31
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,23,9
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,24,45
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,25,6
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,26,16
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,27,11
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,28,14
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,29,13
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,30,17
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,31,7
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,32,9
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,33,8
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,34,7
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,35,3
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,36,6
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,37,6
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,38,5
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,39,4
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,40,2
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,41,7
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,42,3
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,43,2
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,44,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,45,3
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,48,3
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,49,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,50,2
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,52,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,54,2
