PHASE,method,interval_method,n,replicates,seed,empty_count,nonempty_count,orbital_unique_count,orbital_nonunique_count,U_hat,U_ci95_low,U_ci95_high,E_hat,E_ci95_low,E_ci95_high,U_star_hat,U_star_ci95_low,U_star_ci95_high,G_hat,backend_failures,median_time_ms,p95_time_ms
POST_HOC_EXPLORATORY_LARGE_N_BASELINE,EXACT,EXACT_POINT,6,720,NA,719,1,1,0,0.0013888888888888889,0.0013888888888888889,0.0013888888888888889,0.0013888888888888889,0.0013888888888888889,0.0013888888888888889,1,1,1,0,0,0.028103999738959828,0.03851000019494677
POST_HOC_EXPLORATORY_LARGE_N_BASELINE,EXACT,EXACT_POINT,7,5040,NA,5003,37,36,1,0.0071428571428571426,0.0071428571428571426,0.0071428571428571426,0.0073412698412698412,0.0073412698412698412,0.0073412698412698412,0.97297297297297303,0.97297297297297303,0.97297297297297303,0.00019841269841269841,0,0.030473000151687302,0.041526999666530173
POST_HOC_EXPLORATORY_LARGE_N_BASELINE,EXACT,EXACT_POINT,8,40320,NA,39429,891,820,71,0.020337301587301588,0.020337301587301588,0.020337301587301588,0.022098214285714287,0.022098214285714287,0.022098214285714287,0.92031425364758701,0.92031425364758701,0.92031425364758701,0.0017609126984126984,0,0.034735000554064754,0.049436000153946225
POST_HOC_EXPLORATORY_LARGE_N_BASELINE,EXACT,EXACT_POINT,9,362880,NA,344837,18043,15423,2620,0.042501653439153436,0.042501653439153436,0.042501653439153436,0.049721671075837741,0.049721671075837741,0.049721671075837741,0.8547913318184337,0.8547913318184337,0.8547913318184337,0.007220017636684303,0,0.040744000216363929,0.18330600050830981
POST_HOC_EXPLORATORY_LARGE_N_BASELINE,MONTE_CARLO,WILSON_95,10,100000,260826010,90714,9286,7290,1996,0.072900000000000006,0.071305058344247357,0.074527754136521102,0.092859999999999998,0.091076736865066565,0.09467454216424756,0.78505276760715059,0.77658073997505495,0.79328904988808147,0.019959999999999999,0,0.056291499731742078,0.26049600000987994
POST_HOC_EXPLORATORY_LARGE_N_BASELINE,MONTE_CARLO,WILSON_95,12,100000,260826012,77265,22735,15225,7510,0.15225,0.15003666633553228,0.15449004998426921,0.22735,0.22476281419487815,0.22995813247541341,0.6696723114141192,0.66353039443145301,0.67575690012889722,0.0751,0,0.087126999460451771,0.56572800076537533
POST_HOC_EXPLORATORY_LARGE_N_BASELINE,MONTE_CARLO,WILSON_95,16,100000,260826016,41398,58602,31256,27346,0.31256,0.30969426904509872,0.3154401312625465,0.58601999999999999,0.58296398321726695,0.58906940819084419,0.53336063615576257,0.52931940281993506,0.53739749608761422,0.27345999999999998,0,0.54477900039273663,1.4324379999379744
POST_HOC_EXPLORATORY_LARGE_N_BASELINE,MONTE_CARLO,WILSON_95,24,100000,260826024,3288,96712,46473,50239,0.46472999999999998,0.4616401584423056,0.46782255121865607,0.96711999999999998,0.96599669819406619,0.96820741473963423,0.48052982049797338,0.47738183224015979,0.48367935542883772,0.50239,0,2.0269474998713122,4.330836999542953
POST_HOC_EXPLORATORY_LARGE_N_BASELINE,MONTE_CARLO,WILSON_95,32,100000,260826032,64,99936,51519,48417,0.51519000000000004,0.51209193120308871,0.51828690180655101,0.99936000000000003,0.99918290474148996,0.99949873131471123,0.51551993275696451,0.51242092211636214,0.51861775029616275,0.48416999999999999,0,4.8276335000991821,9.1330720006226329
