PHASE,method,n,r,count,p_given_E,p_given_E_ci95_low,p_given_E_ci95_high,q_given_tie,q_given_tie_ci95_low,q_given_tie_ci95_high
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,29,1,1.0768899418479431e-05,1.9009777063082026e-06,6.1002502581920549e-05,2.0480471870071886e-05,3.6153153300613365e-06,0.00011601110613188004
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,30,2,2.1537798836958863e-05,5.9064611608459681e-06,7.8533927019426786e-05,4.0960943740143773e-05,1.1233040067891705e-05,0.0001493511027899959
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,31,0,0,0,4.1366572396184714e-05,0,0,7.8668700065995137e-05
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,32,1,1.0768899418479431e-05,1.9009777063082026e-06,6.1002502581920549e-05,2.0480471870071886e-05,3.6153153300613365e-06,0.00011601110613188004
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,33,0,0,0,4.1366572396184714e-05,0,0,7.8668700065995137e-05
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,34,1,1.0768899418479431e-05,1.9009777063082026e-06,6.1002502581920549e-05,2.0480471870071886e-05,3.6153153300613365e-06,0.00011601110613188004
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,35,0,0,0,4.1366572396184714e-05,0,0,7.8668700065995137e-05
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,36,1,1.0768899418479431e-05,1.9009777063082026e-06,6.1002502581920549e-05,2.0480471870071886e-05,3.6153153300613365e-06,0.00011601110613188004
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,1,46380,0.48004471309099944,0.47689530168038835,0.48319571128568634,NA,NA,NA
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,2,27837,0.28811998012751511,0.28527274144686204,0.29098406686668249,0.5541245322079783,0.54977394424101977,0.55846684319174467
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,3,7508,0.07770969611658525,0.076038348160594516,0.079414623320652827,0.14945457440879051,0.14636361298196707,0.15259914292425472
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,4,7540,0.078040904198062436,0.076366253621948058,0.079749107685588502,0.15009156779998409,0.14699509159614615,0.15324155368037667
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,5,1699,0.017585079075929454,0.016775266210117074,0.018433252117565718,0.033820367863683413,0.032274938113128371,0.035437088040637027
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,6,2535,0.02623789020452099,0.02524867724721596,0.027264775292272649,0.050461820208615338,0.048581797551913081,0.052410588400966365
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,7,565,0.005847892688581601,0.0053863640851986956,0.0063487147733599413,0.011246914563261406,0.010361414886659301,0.012207156707063821
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,8,1074,0.011116171234578124,0.010474225841295348,0.011796991191676159,0.021379090691934072,0.020150346312922694,0.022681028077150972
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,9,319,0.0033017305622257184,0.0029592239642648966,0.0036837331046953798,0.0063500278684608651,0.0056921587516587085,0.0070833883078753532
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,10,380,0.0039330959675416078,0.003557663289512185,0.004347974385811912,0.0075642965204236008,0.0068433803371489915,0.0083605183345213836
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,11,78,0.00080731969860064589,0.00064698414124618638,0.0010073495484734189,0.001552671391034318,0.0012443892879031577,0.0019371784515513717
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,12,301,0.0031154260163948001,0.0027832310978480163,0.0034871316938245756,0.0059917190859144834,0.0053536053432092744,0.0067053789455304644
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,13,57,0.00058996439513124121,0.00045542942411230434,0.00076421094210500184,0.0011346444780635401,0.00087594856135365744,0.0014696292788408301
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,14,91,0.00094187298170075352,0.00076727745698998645,0.0011561520996596136,0.0018114499562067044,0.0014757673637696977,0.0022233179323696197
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,15,46,0.00047611161712345779,0.00035699388440624675,0.00063494997902414072,0.00091567799984075169,0.00068661811171934076,0.0012210602574341724
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,16,72,0.00074521818332367305,0.00059186076746705306,0.00093827482982332378,0.0014332351301855244,0.0011383630658189136,0.0018043504167041756
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,17,13,0.00013455328310010763,7.8638741877920941e-05,0.00023021561319171066,0.00025877856517238636,0.00015124423483107321,0.00044273572119951665
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,18,45,0.00046576136457729568,0.00034813103214523824,0.00062311314921361109,0.00089577195636595275,0.00066957144476009235,0.001198297881571514
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,19,6,6.2101515276972763e-05,2.8461982388835025e-05,0.00013549459818003028,0.0001194362608487937,5.4739822690810677e-05,0.00026057683358643186
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,20,15,0.00015525378819243189,9.4092073645667723e-05,0.00025616164556704001,0.00029859065212198423,0.00018096571241820768,0.00049263232925619567
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,21,6,6.2101515276972763e-05,2.8461982388835025e-05,0.00013549459818003028,0.0001194362608487937,5.4739822690810677e-05,0.00026057683358643186
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,22,9,9.3152272915459131e-05,4.9009959249650853e-05,0.00017704566753382858,0.00017915439127319055,9.4259351009981436e-05,0.00034048443373298134
