n,permutation,n_candidates,n_score_levels,n_automorphisms,candidates_available,level_index,primary_score,secondary_score,candidate_count,orbit_count,orbit_sizes
6,012345,1,1,1,1,0,3,6,1,1,1
6,012354,0,0,,0,,,,,,
6,012435,0,0,,0,,,,,,
6,012453,0,0,,0,,,,,,
6,012534,0,0,,0,,,,,,
6,012543,0,0,,0,,,,,,
6,013245,0,0,,0,,,,,,
6,013254,0,0,,0,,,,,,
6,013425,0,0,,0,,,,,,
6,013452,0,0,,0,,,,,,
6,013524,0,0,,0,,,,,,
6,013542,0,0,,0,,,,,,
6,014235,0,0,,0,,,,,,
6,014253,0,0,,0,,,,,,
6,014325,0,0,,0,,,,,,
6,014352,0,0,,0,,,,,,
6,014523,0,0,,0,,,,,,
6,014532,0,0,,0,,,,,,
6,015234,0,0,,0,,,,,,
6,015243,0,0,,0,,,,,,
6,015324,0,0,,0,,,,,,
6,015342,0,0,,0,,,,,,
6,015423,0,0,,0,,,,,,
6,015432,0,0,,0,,,,,,
6,021345,0,0,,0,,,,,,
6,021354,0,0,,0,,,,,,
6,021435,0,0,,0,,,,,,
6,021453,0,0,,0,,,,,,
6,021534,0,0,,0,,,,,,
6,021543,0,0,,0,,,,,,
6,023145,0,0,,0,,,,,,
6,023154,0,0,,0,,,,,,
6,023415,0,0,,0,,,,,,
6,023451,0,0,,0,,,,,,
6,023514,0,0,,0,,,,,,
6,023541,0,0,,0,,,,,,
6,024135,0,0,,0,,,,,,
6,024153,0,0,,0,,,,,,
6,024315,0,0,,0,,,,,,
6,024351,0,0,,0,,,,,,
6,024513,0,0,,0,,,,,,
6,024531,0,0,,0,,,,,,
6,025134,0,0,,0,,,,,,
6,025143,0,0,,0,,,,,,
6,025314,0,0,,0,,,,,,
6,025341,0,0,,0,,,,,,
6,025413,0,0,,0,,,,,,
6,025431,0,0,,0,,,,,,
6,031245,0,0,,0,,,,,,
6,031254,0,0,,0,,,,,,
6,031425,0,0,,0,,,,,,
6,031452,0,0,,0,,,,,,
6,031524,0,0,,0,,,,,,
6,031542,0,0,,0,,,,,,
6,032145,0,0,,0,,,,,,
6,032154,0,0,,0,,,,,,
6,032415,0,0,,0,,,,,,
6,032451,0,0,,0,,,,,,
6,032514,0,0,,0,,,,,,
6,032541,0,0,,0,,,,,,
6,034125,0,0,,0,,,,,,
6,034152,0,0,,0,,,,,,
6,034215,0,0,,0,,,,,,
6,034251,0,0,,0,,,,,,
6,034512,0,0,,0,,,,,,
6,034521,0,0,,0,,,,,,
6,035124,0,0,,0,,,,,,
6,035142,0,0,,0,,,,,,
6,035214,0,0,,0,,,,,,
6,035241,0,0,,0,,,,,,
6,035412,0,0,,0,,,,,,
6,035421,0,0,,0,,,,,,
6,041235,0,0,,0,,,,,,
6,041253,0,0,,0,,,,,,
6,041325,0,0,,0,,,,,,
6,041352,0,0,,0,,,,,,
6,041523,0,0,,0,,,,,,
6,041532,0,0,,0,,,,,,
6,042135,0,0,,0,,,,,,
6,042153,0,0,,0,,,,,,
6,042315,0,0,,0,,,,,,
6,042351,0,0,,0,,,,,,
6,042513,0,0,,0,,,,,,
6,042531,0,0,,0,,,,,,
6,043125,0,0,,0,,,,,,
6,043152,0,0,,0,,,,,,
6,043215,0,0,,0,,,,,,
6,043251,0,0,,0,,,,,,
6,043512,0,0,,0,,,,,,
6,043521,0,0,,0,,,,,,
6,045123,0,0,,0,,,,,,
6,045132,0,0,,0,,,,,,
6,045213,0,0,,0,,,,,,
6,045231,0,0,,0,,,,,,
6,045312,0,0,,0,,,,,,
6,045321,0,0,,0,,,,,,
6,051234,0,0,,0,,,,,,
6,051243,0,0,,0,,,,,,
6,051324,0,0,,0,,,,,,
6,051342,0,0,,0,,,,,,
6,051423,0,0,,0,,,,,,
6,051432,0,0,,0,,,,,,
6,052134,0,0,,0,,,,,,
6,052143,0,0,,0,,,,,,
6,052314,0,0,,0,,,,,,
6,052341,0,0,,0,,,,,,
6,052413,0,0,,0,,,,,,
6,052431,0,0,,0,,,,,,
6,053124,0,0,,0,,,,,,
6,053142,0,0,,0,,,,,,
6,053214,0,0,,0,,,,,,
6,053241,0,0,,0,,,,,,
6,053412,0,0,,0,,,,,,
6,053421,0,0,,0,,,,,,
6,054123,0,0,,0,,,,,,
6,054132,0,0,,0,,,,,,
6,054213,0,0,,0,,,,,,
6,054231,0,0,,0,,,,,,
6,054312,0,0,,0,,,,,,
6,054321,0,0,,0,,,,,,
6,102345,0,0,,0,,,,,,
6,102354,0,0,,0,,,,,,
6,102435,0,0,,0,,,,,,
6,102453,0,0,,0,,,,,,
6,102534,0,0,,0,,,,,,
6,102543,0,0,,0,,,,,,
6,103245,0,0,,0,,,,,,
6,103254,0,0,,0,,,,,,
6,103425,0,0,,0,,,,,,
6,103452,0,0,,0,,,,,,
6,103524,0,0,,0,,,,,,
6,103542,0,0,,0,,,,,,
6,104235,0,0,,0,,,,,,
6,104253,0,0,,0,,,,,,
6,104325,0,0,,0,,,,,,
6,104352,0,0,,0,,,,,,
6,104523,0,0,,0,,,,,,
6,104532,0,0,,0,,,,,,
6,105234,0,0,,0,,,,,,
6,105243,0,0,,0,,,,,,
6,105324,0,0,,0,,,,,,
6,105342,0,0,,0,,,,,,
6,105423,0,0,,0,,,,,,
6,105432,0,0,,0,,,,,,
6,120345,0,0,,0,,,,,,
6,120354,0,0,,0,,,,,,
6,120435,0,0,,0,,,,,,
6,120453,0,0,,0,,,,,,
6,120534,0,0,,0,,,,,,
6,120543,0,0,,0,,,,,,
6,123045,0,0,,0,,,,,,
6,123054,0,0,,0,,,,,,
6,123405,0,0,,0,,,,,,
6,123450,0,0,,0,,,,,,
6,123504,0,0,,0,,,,,,
6,123540,0,0,,0,,,,,,
6,124035,0,0,,0,,,,,,
6,124053,0,0,,0,,,,,,
6,124305,0,0,,0,,,,,,
6,124350,0,0,,0,,,,,,
6,124503,0,0,,0,,,,,,
6,124530,0,0,,0,,,,,,
6,125034,0,0,,0,,,,,,
6,125043,0,0,,0,,,,,,
6,125304,0,0,,0,,,,,,
6,125340,0,0,,0,,,,,,
6,125403,0,0,,0,,,,,,
6,125430,0,0,,0,,,,,,
6,130245,0,0,,0,,,,,,
6,130254,0,0,,0,,,,,,
6,130425,0,0,,0,,,,,,
6,130452,0,0,,0,,,,,,
6,130524,0,0,,0,,,,,,
6,130542,0,0,,0,,,,,,
6,132045,0,0,,0,,,,,,
6,132054,0,0,,0,,,,,,
6,132405,0,0,,0,,,,,,
6,132450,0,0,,0,,,,,,
6,132504,0,0,,0,,,,,,
6,132540,0,0,,0,,,,,,
6,134025,0,0,,0,,,,,,
6,134052,0,0,,0,,,,,,
6,134205,0,0,,0,,,,,,
6,134250,0,0,,0,,,,,,
6,134502,0,0,,0,,,,,,
6,134520,0,0,,0,,,,,,
6,135024,0,0,,0,,,,,,
6,135042,0,0,,0,,,,,,
6,135204,0,0,,0,,,,,,
6,135240,0,0,,0,,,,,,
6,135402,0,0,,0,,,,,,
6,135420,0,0,,0,,,,,,
6,140235,0,0,,0,,,,,,
6,140253,0,0,,0,,,,,,
6,140325,0,0,,0,,,,,,
6,140352,0,0,,0,,,,,,
6,140523,0,0,,0,,,,,,
6,140532,0,0,,0,,,,,,
6,142035,0,0,,0,,,,,,
6,142053,0,0,,0,,,,,,
6,142305,0,0,,0,,,,,,
6,142350,0,0,,0,,,,,,
6,142503,0,0,,0,,,,,,
6,142530,0,0,,0,,,,,,
6,143025,0,0,,0,,,,,,
6,143052,0,0,,0,,,,,,
6,143205,0,0,,0,,,,,,
6,143250,0,0,,0,,,,,,
6,143502,0,0,,0,,,,,,
6,143520,0,0,,0,,,,,,
6,145023,0,0,,0,,,,,,
6,145032,0,0,,0,,,,,,
6,145203,0,0,,0,,,,,,
6,145230,0,0,,0,,,,,,
6,145302,0,0,,0,,,,,,
6,145320,0,0,,0,,,,,,
6,150234,0,0,,0,,,,,,
6,150243,0,0,,0,,,,,,
6,150324,0,0,,0,,,,,,
6,150342,0,0,,0,,,,,,
6,150423,0,0,,0,,,,,,
6,150432,0,0,,0,,,,,,
6,152034,0,0,,0,,,,,,
6,152043,0,0,,0,,,,,,
6,152304,0,0,,0,,,,,,
6,152340,0,0,,0,,,,,,
6,152403,0,0,,0,,,,,,
6,152430,0,0,,0,,,,,,
6,153024,0,0,,0,,,,,,
6,153042,0,0,,0,,,,,,
6,153204,0,0,,0,,,,,,
6,153240,0,0,,0,,,,,,
6,153402,0,0,,0,,,,,,
6,153420,0,0,,0,,,,,,
6,154023,0,0,,0,,,,,,
6,154032,0,0,,0,,,,,,
6,154203,0,0,,0,,,,,,
6,154230,0,0,,0,,,,,,
6,154302,0,0,,0,,,,,,
6,154320,0,0,,0,,,,,,
6,201345,0,0,,0,,,,,,
6,201354,0,0,,0,,,,,,
6,201435,0,0,,0,,,,,,
6,201453,0,0,,0,,,,,,
6,201534,0,0,,0,,,,,,
6,201543,0,0,,0,,,,,,
6,203145,0,0,,0,,,,,,
6,203154,0,0,,0,,,,,,
6,203415,0,0,,0,,,,,,
6,203451,0,0,,0,,,,,,
6,203514,0,0,,0,,,,,,
6,203541,0,0,,0,,,,,,
6,204135,0,0,,0,,,,,,
6,204153,0,0,,0,,,,,,
6,204315,0,0,,0,,,,,,
6,204351,0,0,,0,,,,,,
6,204513,0,0,,0,,,,,,
6,204531,0,0,,0,,,,,,
6,205134,0,0,,0,,,,,,
6,205143,0,0,,0,,,,,,
6,205314,0,0,,0,,,,,,
6,205341,0,0,,0,,,,,,
6,205413,0,0,,0,,,,,,
6,205431,0,0,,0,,,,,,
6,210345,0,0,,0,,,,,,
6,210354,0,0,,0,,,,,,
6,210435,0,0,,0,,,,,,
6,210453,0,0,,0,,,,,,
6,210534,0,0,,0,,,,,,
6,210543,0,0,,0,,,,,,
6,213045,0,0,,0,,,,,,
6,213054,0,0,,0,,,,,,
6,213405,0,0,,0,,,,,,
6,213450,0,0,,0,,,,,,
6,213504,0,0,,0,,,,,,
6,213540,0,0,,0,,,,,,
6,214035,0,0,,0,,,,,,
6,214053,0,0,,0,,,,,,
6,214305,0,0,,0,,,,,,
6,214350,0,0,,0,,,,,,
6,214503,0,0,,0,,,,,,
6,214530,0,0,,0,,,,,,
6,215034,0,0,,0,,,,,,
6,215043,0,0,,0,,,,,,
6,215304,0,0,,0,,,,,,
6,215340,0,0,,0,,,,,,
6,215403,0,0,,0,,,,,,
6,215430,0,0,,0,,,,,,
6,230145,0,0,,0,,,,,,
6,230154,0,0,,0,,,,,,
6,230415,0,0,,0,,,,,,
6,230451,0,0,,0,,,,,,
6,230514,0,0,,0,,,,,,
6,230541,0,0,,0,,,,,,
6,231045,0,0,,0,,,,,,
6,231054,0,0,,0,,,,,,
6,231405,0,0,,0,,,,,,
6,231450,0,0,,0,,,,,,
6,231504,0,0,,0,,,,,,
6,231540,0,0,,0,,,,,,
6,234015,0,0,,0,,,,,,
6,234051,0,0,,0,,,,,,
6,234105,0,0,,0,,,,,,
6,234150,0,0,,0,,,,,,
6,234501,0,0,,0,,,,,,
6,234510,0,0,,0,,,,,,
6,235014,0,0,,0,,,,,,
6,235041,0,0,,0,,,,,,
6,235104,0,0,,0,,,,,,
6,235140,0,0,,0,,,,,,
6,235401,0,0,,0,,,,,,
6,235410,0,0,,0,,,,,,
6,240135,0,0,,0,,,,,,
6,240153,0,0,,0,,,,,,
6,240315,0,0,,0,,,,,,
6,240351,0,0,,0,,,,,,
6,240513,0,0,,0,,,,,,
6,240531,0,0,,0,,,,,,
6,241035,0,0,,0,,,,,,
6,241053,0,0,,0,,,,,,
6,241305,0,0,,0,,,,,,
6,241350,0,0,,0,,,,,,
6,241503,0,0,,0,,,,,,
6,241530,0,0,,0,,,,,,
6,243015,0,0,,0,,,,,,
6,243051,0,0,,0,,,,,,
6,243105,0,0,,0,,,,,,
6,243150,0,0,,0,,,,,,
6,243501,0,0,,0,,,,,,
6,243510,0,0,,0,,,,,,
6,245013,0,0,,0,,,,,,
6,245031,0,0,,0,,,,,,
6,245103,0,0,,0,,,,,,
6,245130,0,0,,0,,,,,,
6,245301,0,0,,0,,,,,,
6,245310,0,0,,0,,,,,,
6,250134,0,0,,0,,,,,,
6,250143,0,0,,0,,,,,,
6,250314,0,0,,0,,,,,,
6,250341,0,0,,0,,,,,,
6,250413,0,0,,0,,,,,,
6,250431,0,0,,0,,,,,,
6,251034,0,0,,0,,,,,,
6,251043,0,0,,0,,,,,,
6,251304,0,0,,0,,,,,,
6,251340,0,0,,0,,,,,,
6,251403,0,0,,0,,,,,,
6,251430,0,0,,0,,,,,,
6,253014,0,0,,0,,,,,,
6,253041,0,0,,0,,,,,,
6,253104,0,0,,0,,,,,,
6,253140,0,0,,0,,,,,,
6,253401,0,0,,0,,,,,,
6,253410,0,0,,0,,,,,,
6,254013,0,0,,0,,,,,,
6,254031,0,0,,0,,,,,,
6,254103,0,0,,0,,,,,,
6,254130,0,0,,0,,,,,,
6,254301,0,0,,0,,,,,,
6,254310,0,0,,0,,,,,,
6,301245,0,0,,0,,,,,,
6,301254,0,0,,0,,,,,,
6,301425,0,0,,0,,,,,,
6,301452,0,0,,0,,,,,,
6,301524,0,0,,0,,,,,,
6,301542,0,0,,0,,,,,,
6,302145,0,0,,0,,,,,,
6,302154,0,0,,0,,,,,,
6,302415,0,0,,0,,,,,,
6,302451,0,0,,0,,,,,,
6,302514,0,0,,0,,,,,,
6,302541,0,0,,0,,,,,,
6,304125,0,0,,0,,,,,,
6,304152,0,0,,0,,,,,,
6,304215,0,0,,0,,,,,,
6,304251,0,0,,0,,,,,,
6,304512,0,0,,0,,,,,,
6,304521,0,0,,0,,,,,,
6,305124,0,0,,0,,,,,,
6,305142,0,0,,0,,,,,,
6,305214,0,0,,0,,,,,,
6,305241,0,0,,0,,,,,,
6,305412,0,0,,0,,,,,,
6,305421,0,0,,0,,,,,,
6,310245,0,0,,0,,,,,,
6,310254,0,0,,0,,,,,,
6,310425,0,0,,0,,,,,,
6,310452,0,0,,0,,,,,,
6,310524,0,0,,0,,,,,,
6,310542,0,0,,0,,,,,,
6,312045,0,0,,0,,,,,,
6,312054,0,0,,0,,,,,,
6,312405,0,0,,0,,,,,,
6,312450,0,0,,0,,,,,,
6,312504,0,0,,0,,,,,,
6,312540,0,0,,0,,,,,,
6,314025,0,0,,0,,,,,,
6,314052,0,0,,0,,,,,,
6,314205,0,0,,0,,,,,,
