representation,n,side,selected_count,estimate_mean,estimate_sd,estimate_cv,latent_duration_mean,bias_mean,bias_bootstrap95_low,bias_bootstrap95_high,mae,rmse,median_absolute_relative_error,median_are_bootstrap95_low,median_are_bootstrap95_high,pearson_correlation,pearson_bootstrap95_low,pearson_bootstrap95_high,ols_slope,ols_intercept
HEIGHT_ONLY,64,PAST,7014,0.399050114058,0.0645406032464,0.16173558401,0.380289521833,0.0187605922243,0.0170136073977,0.0205057759995,0.063891622092,0.0798585420109,0.142034784126,0.138454153364,0.146080178414,0.265761506775,0.24410026246,0.286699411899,0.269800530828,0.296447799199
HEIGHT_ONLY,64,FUTURE,7014,0.398435272313,0.0642006422105,0.161131924485,0.380446245702,0.0179890266101,0.0161922814395,0.019885272383,0.0633335231896,0.0798352739796,0.137896228685,0.134145474182,0.141580377713,0.268649688035,0.247431829246,0.289688009288,0.267671697983,0.296600579734
HEIGHT_ONLY,96,PAST,7918,0.404484445401,0.0592010343054,0.146361708042,0.402535125292,0.0019493201093,0.000392107855792,0.00352264364953,0.0544050688337,0.0683852202085,0.113898332974,0.111082852687,0.117136173903,0.235889880296,0.214868820432,0.256635038317,0.274404861576,0.294026850066
HEIGHT_ONLY,96,FUTURE,7918,0.403936625487,0.0601861471953,0.148998984984,0.402922602857,0.00101402262914,-0.000462171080546,0.00245004157955,0.05502329941,0.0695339346485,0.114509031128,0.111938295043,0.117126764366,0.234509155694,0.214762824106,0.256786717349,0.273093591909,0.293901044611
HEIGHT_ONLY,128,PAST,8334,0.408941936981,0.0562975323552,0.13766632195,0.416605710339,-0.00766377335852,-0.00893991674824,-0.00634391255406,0.049935453529,0.0626841485589,0.102875594013,0.099771535314,0.105175647162,0.260008518683,0.240765571502,0.280000812104,0.325999048861,0.27312887166
HEIGHT_ONLY,128,FUTURE,8334,0.410850972567,0.0564598206017,0.137421654983,0.416362118414,-0.00551114584686,-0.00679527241382,-0.00415192334045,0.0503331620986,0.0629527932815,0.102700090755,0.100243858925,0.104973427546,0.239552553386,0.21914126283,0.258186666834,0.307428591488,0.282849352954
COUNT_VOLUME,64,PAST,7014,0.411627400748,0.0466989098104,0.11344946844,0.380289521833,0.0313378789145,0.0299866959441,0.0325566465285,0.0500839797134,0.0619973971017,0.111576275096,0.108545465186,0.114381226423,0.565953875208,0.550223772925,0.582445446475,0.415724368305,0.25353177951
COUNT_VOLUME,64,FUTURE,7014,0.412133246601,0.0473297711774,0.114840944204,0.380446245702,0.0316870008983,0.0304168823361,0.0329454984736,0.0505181992338,0.0627752297208,0.111022675482,0.107903453515,0.114546801933,0.566435587052,0.549709594676,0.581468072438,0.416065471845,0.253842699871
COUNT_VOLUME,96,PAST,7918,0.425856148408,0.0379194550151,0.0890428731788,0.402535125292,0.0233210231154,0.0223520217704,0.0242738059797,0.0400422634587,0.0497968532574,0.0821647445148,0.0796176249684,0.0844220162348,0.541963878084,0.526811237404,0.556751913487,0.403817955584,0.263305237061
COUNT_VOLUME,96,FUTURE,7918,0.42569938507,0.0378015794081,0.0887987644189,0.402922602857,0.0227767822124,0.0217798105992,0.0237781695963,0.0404273399614,0.0504764028421,0.0835887799877,0.0814856699692,0.0860642274193,0.529950737217,0.514083546711,0.545311144502,0.387615031087,0.269520527838
COUNT_VOLUME,128,PAST,8334,0.434792463933,0.0334016836399,0.0768221310409,0.416605710339,0.0181867535941,0.0173455656999,0.0190340492142,0.0345977094217,0.0431960602788,0.0695641998224,0.0676302341152,0.0712456520692,0.532239356494,0.516802125971,0.547327385066,0.395926654695,0.269847158712
COUNT_VOLUME,128,FUTURE,8334,0.435169565843,0.0329640461556,0.075749888648,0.416362118414,0.0188074474295,0.0180203685384,0.0196639020936,0.0339720287611,0.0423380953165,0.0694840736811,0.0676491279282,0.0713644622576,0.545829896146,0.529921477892,0.561184754325,0.408979735556,0.264885896759
HEIGHT_WIDTH,64,PAST,7014,0.341081230396,0.046401151713,0.136041351965,0.380289521833,-0.0392082914369,-0.0405913901643,-0.0378789261981,0.0566957816535,0.0705944872843,0.132439738144,0.128503467713,0.136544891651,0.465772565749,0.446904240981,0.483802161973,0.339954165532,0.211800223341
HEIGHT_WIDTH,64,FUTURE,7014,0.341085685771,0.0465885923234,0.136589116069,0.380446245702,-0.0393605599311,-0.0407208713172,-0.0378830166222,0.0580761910198,0.0716447559716,0.136492775553,0.133357065739,0.139937274833,0.456065035321,0.438024475883,0.475272493487,0.329748711499,0.215634026456
HEIGHT_WIDTH,96,PAST,7918,0.356833780215,0.0422168382641,0.118309534032,0.402535125292,-0.0457013450767,-0.0468327952959,-0.0444781458354,0.0566163227969,0.0687873515195,0.128125663963,0.125391499028,0.13086296458,0.402330793059,0.383407797138,0.420807095448,0.333750692124,0.222487403545
