n,side,selected_count,interval_size_mean,interval_size_median,height_mean,height_sd,height_cv,height_residual_mean,height_residual_bootstrap95_low,height_residual_bootstrap95_high,latent_duration_mean,height_duration_estimate_mean,duration_bias_mean,duration_mae,duration_rmse,median_absolute_relative_error,median_are_bootstrap95_low,median_are_bootstrap95_high,pearson_correlation,pearson_bootstrap95_low,pearson_bootstrap95_high,ols_slope,ols_intercept
64,PAST,7057,12.6199518209,12,6.41037267961,1.0478598695,0.163463174743,-0.0588875230268,-0.0791726574678,-0.0381512124486,0.380585924487,0.400648292476,0.0200623679887,0.0628295638206,0.0792039524572,0.136964120732,0.133504516988,0.141492895342,0.290964639879,0.269600868633,0.312269097231,0.301681484377,0.285832565843
64,FUTURE,7057,12.6791837891,13,6.38415757404,1.03875776264,0.162708666037,-0.0988492985688,-0.117985306256,-0.0780147415687,0.379243727756,0.399009848377,0.0197661206211,0.0636946866465,0.0799085873174,0.141754650493,0.137952518995,0.146067466,0.273313909204,0.25158379557,0.292117591441,0.279345570389,0.293069792931
96,PAST,7781,19.2394293793,19,7.93188536178,1.18092700515,0.148883519023,-0.0955614959517,-0.120739782001,-0.0721196881828,0.403341523955,0.404772329888,0.00143080593239,0.0550710920629,0.0691171390269,0.114189369837,0.111732704708,0.117447651267,0.236215391342,0.216349558937,0.257410766497,0.279495776772,0.292040077345
96,FUTURE,7781,19.2072998329,19,7.93214239815,1.19350056439,0.150463834924,-0.0880077432207,-0.112468854421,-0.0649183548066,0.403147722219,0.40478544672,0.00163772450149,0.0540941586451,0.0680804540504,0.113022153037,0.110371347047,0.115686163242,0.275902906545,0.255850874554,0.296115523668,0.326114999893,0.273312927332
128,PAST,8264,26.0121006776,26,9.28351887706,1.26212935295,0.135953765987,-0.0805636193127,-0.104295201325,-0.0550460324903,0.416349446098,0.410277446953,-0.00607199914575,0.0501689200704,0.0630336591718,0.101879054715,0.0995329889718,0.104527675306,0.227493093087,0.207411236535,0.248331890965,0.287742626843,0.290475963648
128,FUTURE,8264,26.0531219748,26,9.28400290416,1.2728105183,0.13709716934,-0.0881806026137,-0.112101451325,-0.0645657717207,0.41751508926,0.410298838131,-0.00721625112899,0.0508896476518,0.0636290509324,0.10429630061,0.101878353734,0.106601908793,0.223762169003,0.204066582074,0.242867365706,0.285594107725,0.291058988752
