seed,intensity,K,start_id,depth_k,lineage_id,survivor_rank_at_depth,path_p,path_q,p_last,q_last,r_p_last,r_q_last,d_p_over_ell,d_q_over_ell,d_mid_over_ell,straddles_horizon,regscore,is_top1,is_minbeam_at_k
1000003,3600.0,8,63,2,5,5,"[2892,348]","[348,1955]",348,1955,0.34999860285610473,0.22740526743159842,3.3541332073369263,6.095403523313219,4.7247683653250725,0,0.0,0,0
1000003,3600.0,8,63,2,6,6,"[2892,348]","[348,2378]",348,2378,0.34999860285610473,0.12277940595051987,3.3541332073369263,8.434908908074902,5.894521057705915,0,0.0,0,0
1000003,3600.0,8,63,2,7,7,"[2892,348]","[348,2818]",348,2818,0.34999860285610473,0.3160305181193285,3.3541332073369263,4.113682672705973,3.73390794002145,0,0.0,0,1
1000003,3600.0,8,63,3,0,0,"[2892,348,100]","[348,100,581]",100,581,0.2933712914166778,0.20971229798148716,4.620358384953027,6.491030347455976,5.555694366204502,0,0.0,1,0
1000003,3600.0,8,63,3,8,1,"[2892,348,100]","[348,100,884]",100,884,0.2933712914166778,0.256556697113372,4.620358384953027,5.44355773921571,5.031958062084369,0,0.0,0,1
1000003,3600.0,8,63,3,9,2,"[2892,348,100]","[348,100,2132]",100,2132,0.2933712914166778,0.2376963959721974,4.620358384953027,5.8652868934935425,5.242822639223284,0,0.0,0,0
1000003,3600.0,8,63,3,10,3,"[2892,348,100]","[348,100,3316]",100,3316,0.2933712914166778,0.17131767057197922,4.620358384953027,7.34956031604034,5.984959350496685,0,0.0,0,0
1000003,3600.0,8,63,3,11,4,"[2892,348,730]","[348,100,3316]",730,3316,0.20553783735871722,0.17131767057197922,6.584374124675073,7.34956031604034,6.966967220357707,0,0.0,0,0
1000003,3600.0,8,63,3,12,5,"[2892,348,853]","[348,100,581]",853,581,0.24517313901497598,0.20971229798148716,5.698101836554028,6.491030347455976,6.094566092005002,0,0.0,0,0
1000003,3600.0,8,63,3,13,6,"[2892,348,853]","[348,100,3316]",853,3316,0.24517313901497598,0.17131767057197922,5.698101836554028,7.34956031604034,6.523831076297184,0,0.0,0,0
