seed,intensity,K,start_id,depth_k,slice_status,n_survivors,n_endpoint_identities,top1_endpoint_pair,top1_endpoint_count,top1_endpoint_mass_fraction,top3_endpoint_count,top3_endpoint_mass_fraction,endpoint_entropy_nats,effective_endpoint_count,turnover_from_previous_depth
1000018,4800.0,8,0,1,EVALUABLE,1,1,"[114,279]",1,1.0,1,1.0,0.0,1.0,NA
1000018,4800.0,8,0,2,EVALUABLE,8,8,"[279,213]",1,0.125,3,0.375,2.0794415416798357,7.999999999999998,1.0
1000018,4800.0,8,0,3,EVALUABLE,8,8,"[213,240]",1,0.125,3,0.375,2.0794415416798357,7.999999999999998,1.0
1000018,4800.0,8,0,4,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,1.0
1000018,4800.0,8,0,5,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,6,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,7,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,8,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,9,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,10,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,11,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,12,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,13,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,14,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,15,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,16,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,17,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,18,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,19,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,20,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,21,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,22,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,23,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,24,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,0,25,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,1,EVALUABLE,1,1,"[114,376]",1,1.0,1,1.0,0.0,1.0,NA
1000018,4800.0,8,1,2,EVALUABLE,8,8,"[376,154]",1,0.125,3,0.375,2.0794415416798357,7.999999999999998,1.0
1000018,4800.0,8,1,3,EVALUABLE,8,8,"[154,642]",1,0.125,3,0.375,2.0794415416798357,7.999999999999998,1.0
1000018,4800.0,8,1,4,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,1.0
1000018,4800.0,8,1,5,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,6,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,7,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,8,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,9,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,10,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,11,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,12,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,13,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,14,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,15,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,16,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,17,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,18,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,19,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,20,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,21,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,22,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,23,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,24,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,1,25,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,1,EVALUABLE,1,1,"[114,1970]",1,1.0,1,1.0,0.0,1.0,NA
1000018,4800.0,8,2,2,EVALUABLE,6,6,"[279,3410]",1,0.16666666666666666,3,0.5,1.791759469228055,6.0,1.0
1000018,4800.0,8,2,3,EVALUABLE,8,8,"[468,4036]",1,0.125,3,0.375,2.0794415416798357,7.999999999999998,1.0
1000018,4800.0,8,2,4,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,1.0
1000018,4800.0,8,2,5,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,6,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,7,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,8,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,9,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,10,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,11,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,12,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,13,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,14,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,15,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,16,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,17,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,18,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,19,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,20,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,21,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,22,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,23,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,24,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,2,25,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,1,EVALUABLE,1,1,"[114,2393]",1,1.0,1,1.0,0.0,1.0,NA
1000018,4800.0,8,3,2,EVALUABLE,6,6,"[2393,249]",1,0.16666666666666666,3,0.5,1.791759469228055,6.0,1.0
1000018,4800.0,8,3,3,EVALUABLE,8,8,"[249,479]",1,0.125,3,0.375,2.0794415416798357,7.999999999999998,1.0
1000018,4800.0,8,3,4,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,1.0
1000018,4800.0,8,3,5,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,6,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,7,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,8,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,9,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,10,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,11,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,12,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,13,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,14,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,15,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,16,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,17,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,18,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,19,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,20,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,21,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,22,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,23,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,24,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,3,25,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,8,4,1,EVALUABLE,1,1,"[114,2729]",1,1.0,1,1.0,0.0,1.0,NA
1000018,4800.0,8,4,2,EVALUABLE,6,6,"[279,2120]",1,0.16666666666666666,3,0.5,1.791759469228055,6.0,1.0
1000018,4800.0,8,4,3,EVALUABLE,8,8,"[468,2906]",1,0.125,3,0.375,2.0794415416798357,7.999999999999998,1.0
1000018,4800.0,8,4,4,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,1.0
1000018,4800.0,8,4,5,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
