seed,intensity,K,start_id,depth_k,survivor_rank,p_last,q_last,r_p_last,r_q_last,d_mid_over_ell,straddles_horizon,regscore,path_p,path_q
1000000,3600.0,64,1,3,20,620,898,0.6214583532574869,0.5500552172744039,1.9175800138650612,0,0.0,"[499,107,620]","[107,620,898]"
1000000,3600.0,64,1,3,21,620,1129,0.6214583532574869,0.6197966078368178,2.6973124645796616,0,0.0,"[499,107,620]","[107,620,1129]"
1000000,3600.0,64,1,3,22,620,1137,0.6214583532574869,0.6360815985214534,2.879384195498642,0,0.0,"[499,107,620]","[107,620,1137]"
1000000,3600.0,64,1,3,23,620,1476,0.6214583532574869,1.1486464508047889,8.610033458412024,0,0.0,"[499,107,620]","[107,620,1476]"
1000000,3600.0,64,1,3,24,620,2254,0.6214583532574869,0.4907904176299506,1.254979410475549,1,0.0,"[499,107,620]","[107,620,2254]"
1000000,3600.0,64,1,3,25,620,2399,0.6214583532574869,1.1011904234886587,8.079458943307253,0,0.0,"[499,107,620]","[107,620,2399]"
1000000,3600.0,64,1,3,26,620,2686,0.6214583532574869,0.6088909314249755,2.575383295592185,0,0.0,"[499,107,620]","[107,620,2686]"
1000000,3600.0,64,1,3,27,620,2804,0.6214583532574869,0.23873757033754864,1.5630570918653752,1,0.0,"[499,107,620]","[107,620,2804]"
1000000,3600.0,64,1,3,28,620,3008,0.6214583532574869,0.6215659670155887,2.717094501581388,0,0.0,"[499,107,620]","[107,620,3008]"
1000000,3600.0,64,1,3,29,3178,1137,0.5724656822736335,0.6360815985214534,2.3316294819027545,0,0.0,"[499,107,3178]","[107,620,1137]"
1000000,3600.0,64,1,3,30,1825,112,0.5386942655060689,0.501266262310152,0.4467722830692063,0,0.0,"[499,107,1825]","[107,1825,112]"
1000000,3600.0,64,1,3,31,1825,316,0.5386942655060689,0.613472194634654,1.7012727438508428,0,0.0,"[499,107,1825]","[107,1825,316]"
1000000,3600.0,64,1,3,32,1825,387,0.5386942655060689,0.5430326260871774,0.9137344259612742,0,0.0,"[499,107,1825]","[107,1825,387]"
1000000,3600.0,64,1,3,33,1825,414,0.5386942655060689,0.6104920355232226,1.6679535520662137,0,0.0,"[499,107,1825]","[107,1825,414]"
1000000,3600.0,64,1,3,34,1825,430,0.5386942655060689,0.5593898943595912,1.096614244877863,0,0.0,"[499,107,1825]","[107,1825,430]"
1000000,3600.0,64,1,3,35,1825,529,0.5386942655060689,0.7080160720011796,2.7583054270906193,0,0.0,"[499,107,1825]","[107,1825,529]"
1000000,3600.0,64,1,3,36,1825,692,0.5386942655060689,0.5321713970057296,0.7923021932346995,0,0.0,"[499,107,1825]","[107,1825,692]"
1000000,3600.0,64,1,3,37,1825,733,0.5386942655060689,1.1154837279443761,7.313932313698037,0,0.0,"[499,107,1825]","[107,1825,733]"
1000000,3600.0,64,1,3,38,1825,909,0.5386942655060689,0.2491936290381593,2.371485433248548,1,0.0,"[499,107,1825]","[107,1825,909]"
1000000,3600.0,64,1,3,39,1825,2382,0.5386942655060689,0.3083514307623705,1.7100811029745964,1,0.0,"[499,107,1825]","[107,1825,2382]"
1000000,3600.0,64,1,3,40,1825,3352,0.5386942655060689,0.8594146379412307,4.450992852780313,0,0.0,"[499,107,1825]","[107,1825,3352]"
1000000,3600.0,64,1,3,41,1825,3446,0.5386942655060689,0.5028685787609503,0.4646867255964627,0,0.0,"[499,107,1825]","[107,1825,3446]"
1000000,3600.0,64,1,3,42,1825,3578,0.5386942655060689,0.8662897081689593,4.5278584746767425,0,0.0,"[499,107,1825]","[107,1825,3578]"
1000000,3600.0,64,1,3,43,3178,3446,0.5724656822736335,0.5028685787609503,0.8422626435402144,0,0.0,"[499,107,3178]","[107,1825,3446]"
1000000,3600.0,64,1,3,44,2766,16,0.515874626809663,0.5168155935553097,0.3654877746776336,0,0.0,"[499,107,2766]","[107,2766,16]"
1000000,3600.0,64,1,3,45,2766,649,0.515874626809663,0.4254292696816408,0.6562423872990424,1,0.0,"[499,107,2766]","[107,2766,649]"
